gameid,Away,AwayID,Home,HomeID
683,NEW JERSEY,25,SAN JOSE,6
684,OTTAWA,20,NY RANGERS,27
685,EDMONTON,3,WASHINGTON,30
686,PITTSBURGH,29,PHILADELPHIA,28
687,NASHVILLE,12,MONTREAL,19
688,MINNESOTA,11,DETROIT,17
689,VANCOUVER,7,TAMPA BAY,21
690,ARIZONA,5,CHICAGO,8
691,BOSTON,15,DALLAS,10
692,TORONTO,22,OTTAWA,20
693,CHICAGO,8,PITTSBURGH,29
694,COLUMBUS,24,WINNIPEG,14
695,BOSTON,15,COLORADO,9
696,CALGARY,2,ANAHEIM,1
697,LOS ANGELES,4,SAN JOSE,6
698,NY RANGERS,27,NY ISLANDERS,26
699,ARIZONA,5,PHILADELPHIA,28
700,WINNIPEG,14,PITTSBURGH,29
701,WASHINGTON,30,COLUMBUS,24
702,TAMPA BAY,21,CAROLINA,23
703,DALLAS,10,MONTREAL,19
704,DETROIT,17,FLORIDA,18
705,COLORADO,9,NASHVILLE,12
706,BUFFALO,16,CALGARY,2
707,MINNESOTA,11,EDMONTON,3
708,ANAHEIM,1,VANCOUVER,7
709,TORONTO,22,NEW JERSEY,25
710,PITTSBURGH,29,WASHINGTON,30
711,CHICAGO,8,LOS ANGELES,4
712,BOSTON,15,NY ISLANDERS,26
713,MONTREAL,19,NY RANGERS,27
714,WINNIPEG,14,PHILADELPHIA,28
715,ARIZONA,5,TORONTO,22
716,DALLAS,10,OTTAWA,20
717,DETROIT,17,TAMPA BAY,21
718,COLUMBUS,24,FLORIDA,18
719,NASHVILLE,12,ST. LOUIS,13
720,MINNESOTA,11,CALGARY,2
721,BUFFALO,16,EDMONTON,3
722,ANAHEIM,1,SAN JOSE,6
723,PITTSBURGH,29,NEW JERSEY,25
724,ST. LOUIS,13,CAROLINA,23
725,NASHVILLE,12,COLORADO,9
726,BUFFALO,16,VANCOUVER,7
727,CHICAGO,8,ANAHEIM,1
728,WASHINGTON,30,MONTREAL,19
729,NY ISLANDERS,26,DETROIT,17
730,ARIZONA,5,OTTAWA,20
731,LOS ANGELES,4,BOSTON,15
732,FLORIDA,18,NEW JERSEY,25
733,CAROLINA,23,NY RANGERS,27
734,TORONTO,22,PHILADELPHIA,28
735,DALLAS,10,WINNIPEG,14
736,COLUMBUS,24,TAMPA BAY,21
737,EDMONTON,3,CALGARY,2
738,CHICAGO,8,SAN JOSE,6
739,ARIZONA,5,MONTREAL,19
740,ST. LOUIS,13,WASHINGTON,30
741,NASHVILLE,12,PITTSBURGH,29
742,MINNESOTA,11,VANCOUVER,7
743,FLORIDA,18,NY RANGERS,27
744,WINNIPEG,14,CALGARY,2
745,EDMONTON,3,SAN JOSE,6
746,OTTAWA,20,NEW JERSEY,25
747,FLORIDA,18,NY ISLANDERS,26
748,LOS ANGELES,4,WASHINGTON,30
749,ARIZONA,5,COLUMBUS,24
